आफ्रिकाखण्डः	Африка
१७०५	1705 год
१६२६	1626 год
१६२७	1627 год
१७०६	1706 год
१६२८	1628 год
१७०७	1707 год
१७०८	1708 год
१६२९	1629 год
१६३०	1630 год
१७०९	1709 год
१६३१	1631 год
१७१०	1710 год
अमूर	Амур
१६३२	1632 год
१७११	1711 год
अन्ताराष्ट्रीय-खगोलीय-सङ्घः	Международный астрономический союз
१६३३	1633 год
१७१२	1712 год
१६३४	1634 год
१७१३	1713 год
१८००	1800 год
१८०१	1801 год
१७१४	1714 год
१६३५	1635 год
१८०२	1802 год
१७१५	1715 год
१६३६	1636 год
१८०३	1803 год
१६३७	1637 год
१७१६	1716 год
१६३८	1638 год
१८०४	1804 год
१७१७	1717 год
१६३९	1639 год
१८०५	1805 год
१७१८	1718 год
१६४०	1640 год
१७१९	1719 год
१८०६	1806 год
१६४१	1641 год
१७२०	1720 год
१८०७	1807 год
१६४२	1642 год
१७२१	1721 год
१८०८	1808 год
१६४३	1643 год
१७२२	1722 год
१८०९	1809 год
१६४४	1644 год
१७२३	1723 год
१८१०	1810 год
१६४५	1645 год
१७२४	1724 год
१८११	1811 год
१६४६	1646 год
१७२५	1725 год
१८१२	1812 год
१६४७	1647 год
१७२६	1726 год
१८१३	1813 год
१६४८	1648 год
१७२७	1727 год
१८१४	1814 год
१६४९	1649 год
१७२८	1728 год
१८१५	1815 год
१६५०	1650 год
१७२९	1729 год
१८१६	1816 год
१६५१	1651 год
१७३०	1730 год
१८१७	1817 год
१६५२	1652 год
१७३१	1731 год
१८१८	1818 год
१६५३	1653 год
१७३२	1732 год
१८१९	1819 год
१६५४	1654 год
१७३३	1733 год
१८२०	1820 год
१६५५	1655 год
१८२१	1821 год
१७३४	1734 год
१६५६	1656 год
१८२२	1822 год
१७३५	1735 год
१६५७	1657 год
१८२३	1823 год
१७३६	1736 год
१६५८	1658 год
१७३७	1737 год
१८२४	1824 год
१६५९	1659 год
१७३८	1738 год
१८२५	1825 год
१६६०	1660 год
१७३९	1739 год
१८२६	1826 год
१६६१	1661 год
१७४०	1740 год
१८२७	1827 год
कालिदासः	Калидаса
नील्स बोह्र	Бор, Нильс
परिसरविज्ञानम्	Экология
राजनीतिः	Политика
प्रजातन्त्रम्	Демократия
विश्व रेड्क्रास दिनम्	Международное движение Красного Креста и Красного Полумесяца
मेरी क्यूरी	Склодовская-Кюри, Мария
नोबेल् प्रशस्तिः	Нобелевская премия
एलिजबेथ् प्रथमा	Елизавета I
रोजा लक्जेम्बर्ग	Люксембург, Роза
रवीन्द्रनाथ ठाकुरः	Тагор, Рабиндранат
एलेन ट्यूरिंग	Тьюринг, Алан
बाड्मिण्टन्-क्रीडा	Бадминтон
गुस्तावः मालेरः	Малер, Густав
नात्सी पार्टी	Национал-социалистическая немецкая рабочая партия
सिन्धूनदी	Инд
दक्षिणध्रुवीयमहासागरः	Южный океан
हुआंग हे नदी	Хуанхэ
कर्णः	Ухо
नासिका	Нос
अक्षि	Глаз
एल्फ़्रेड हिचकॉक	Хичкок, Альфред
सस्तनः	Млекопитающие
गजः	Слон
आण्ड्रे अगास्सि	Агасси, Андре
डच भाषा	Нидерландский язык
मार्गरेट थाचर	Тэтчер, Маргарет
डारोति क्रोफट् हाज्किन्	Кроуфут-Ходжкин, Дороти
पुष्पशाकम्	Цветная капуста
वृन्ताकः	Баклажан
इंगमार बर्गमान	Бергман, Ингмар
माता	Мать
१८२८	1828 год
१८२९	1829 год
१७४१	1741 год
१६६२	1662 год
१७४२	1742 год
१८३०	1830 год
१६६३	1663 год
१८३१	1831 год
१७४३	1743 год
१६६४	1664 год
१६६५	1665 год
१७४४	1744 год
१८३२	1832 год
१६६६	1666 год
१७४५	1745 год
१८३३	1833 год
१६६७	1667 год
१७४६	1746 год
परिवहनम्	Транспорт
१८३४	1834 год
१६६८	1668 год
१७४७	1747 год
१८३५	1835 год
१७४८	1748 год
१८३६	1836 год
१६६९	1669 год
लियोनार्ड ओइलर	Эйлер, Леонард
१६७०	1670 год
१७४९	1749 год
१८३७	1837 год
१६७१	1671 год
१७५०	1750 год
१८३८	1838 год
१६७२	1672 год
१७५१	1751 год
१८३९	1839 год
१६७३	1673 год
१७५२	1752 год
१८४०	1840 год
१६७४	1674 год
१७५३	1753 год
