ਅਫ਼ਰੀਕਾ	Африка
ਮੋਜ਼ੈਂਬੀਕ	Мозамбик
ਨਮੀਬੀਆ	Намибия
ਨਾਈਜਰ	Нигер
ਨਾਈਜੀਰੀਆ	Нигерия
ਚਾਰਲਸ ਡਾਰਵਿਨ	Дарвин, Чарлз
ਯੁਗਾਂਡਾ	Уганда
ਰਵਾਂਡਾ	Руанда
ਜ਼ਰਕੋਨੀਅਮ	Цирконий
ਸਾਓ ਤੋਮੇ ਅਤੇ ਪ੍ਰਿੰਸੀਪੀ	Сан-Томе и Принсипи
ਸੇਨੇਗਲ	Сенегал
ਸੇਸ਼ੈਲ	Сейшельские Острова
ਕਾਰਲ ਲੀਨੀਅਸ	Линней, Карл
ਸਿਏਰਾ ਲਿਓਨ	Сьерра-Леоне
ਸੋਮਾਲੀਆ	Сомали
ਨਿਓਬੀਅਮ	Ниобий
ਜਵਾਹਰ ਲਾਲ ਨਹਿਰੂ	Неру, Джавахарлал
ਜੂਲੀਅਸ ਸੀਜ਼ਰ	Гай Юлий Цезарь
ਸੁਡਾਨ	Судан
ਸਵਾਜ਼ੀਲੈਂਡ	Свазиленд
ਸਤਰੰਗੀ ਪੀਂਘ	Радуга
ਮੋਲਿਬਡੇਨਮ	Молибден
ਟੈਕਨੀਸ਼ੀਅਮ	Технеций
ਹਾਮਬੁਰਕ	Гамбург
ਨਰਿੰਦਰ ਮੋਦੀ	Моди, Нарендра
ਇਮਿਊਨ ਸਿਸਟਮ	Иммунная система
ਗੁਜਰਾਤ	Гуджарат
ਓਂਟਾਰੀਓ ਝੀਲ	Онтарио (озеро)
ਵਿਕਾਸਵਾਦ	Эволюция
ਸੰਯੁਕਤ ਰਾਸ਼ਟਰ	Организация Объединённых Наций
ਸੁਪੀਰੀਅਰ ਝੀਲ	Верхнее (озеро)
ਦਾਂਤੇ ਆਲੀਗੀਏਰੀ	Данте Алигьери
ਭੂਗਰਭ ਵਿਗਿਆਨ	Геология
ਅਹਿਮਦਾਬਾਦ	Ахмадабад
ਭੂਗੋਲ	География
ਦਿਲ	Сердце
ਦਿਮਾਗ਼	Головной мозг
ਰੰਗ	Цвет
ਬਰੇਕਿੰਗ ਬੈਡ	Во все тяжкие
ਨਾਂਵ	Имя существительное
ਪ੍ਰਾਗ	Прага
ਰ੍ਹੋਡੀਅਮ	Родий
ਨੀਲਾ	Синий цвет
ਪੈਲੇਡੀਅਮ	Палладий
ਚਾਂਦੀ	Серебро
ਕੈਡਮੀਅਮ	Кадмий
ਇੰਡੀਅਮ	Индий
ਟੀਨ	Олово
ਯੂਰੇਨੀਅਮ	Уран (элемент)
ਐਂਟੀਮਨੀ	Сурьма
ਟੈਲੂਰੀਅਮ	Теллур
ਪਲੂਟੋਨੀਅਮ	Плутоний
ਆਇਓਡੀਨ	Иод
ਜ਼ੀਨਾਨ	Ксенон
﻿ਐਨੀਮੇ	Аниме
ਸੀਜ਼ੀਅਮ	Цезий
ਬਿਜਲਈ ਚਾਰਜ	Электрический заряд
ਬੇਰੀਅਮ	Барий
ਹਾਫ਼ਨੀਅਮ	Гафний
ਟੈਂਟਲਮ	Тантал (элемент)
ਰੇਡੀਅਮ	Радий
ਰੇਡਾਨ	Радон
ਲੋਰੈਨ	Лотарингия
ਅਲਸਾਸ	Эльзас
ਇੰਦਰਾ ਗਾਂਧੀ	Ганди, Индира
ਮਰਕਰੀ	Меркурий (мифология)
ਓਵੈਰਨੀ	Овернь
ਮੁੰਬਈ	Мумбаи
ਅੰਤਰਰਾਸ਼ਟਰੀ ਅਥਲੈਟਿਕਸ ਸੰਘ ਪ੍ਰੀਸ਼ਦ	Международная ассоциация легкоатлетических федераций
ਆਂਧਰਾ ਪ੍ਰਦੇਸ਼	Андхра-Прадеш
ਅਰੁਨਾਚਲ ਪ੍ਰਦੇਸ਼	Аруначал-Прадеш
ਅਸਾਮ	Ассам
ਬਿਹਾਰ	Бихар
ਮਿਸ਼ੀਗਨ	Мичиган
ਛੱਤੀਸਗੜ੍ਹ	Чхаттисгарх
ਮਿਸ਼ੀਗਨ ਝੀਲ	Мичиган (озеро)
ਗੋਆ	Гоа
ਬਰਗੰਡੀ	Бургундия
ਹਰਿਆਣਾ	Харьяна
ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼	Химачал-Прадеш
ਆਕੀਤੈਨ	Аквитания (регион)
ਜੰਮੂ ਅਤੇ ਕਸ਼ਮੀਰ	Джамму и Кашмир
ਪੁਇਰਤੋ ਰੀਕੋ	Пуэрто-Рико
ਝਾਰਖੰਡ	Джаркханд
ਕਰਨਾਟਕ	Карнатака
ਕੇਰਲਾ	Керала
ਮੱਧ ਪ੍ਰਦੇਸ਼	Мадхья-Прадеш
ਉਸੈਨ ਬੋਲਟ	Болт, Усэйн
ਲਿਮੂਜ਼ੈਂ	Лимузен (регион)
ਮਹਾਂਰਾਸ਼ਟਰ	Махараштра
ਮਨੀਪੁਰ	Манипур
ਮੇਘਾਲਿਆ	Мегхалая
ਉੱਤਰੀ ਰਾਈਨ-ਪੱਛਮੀ ਫ਼ਾਲਨ	Северный Рейн-Вестфалия
ਹੈੱਸਨ	Гессен
ਜ਼ਾਰਲਾਂਡ	Саар
ਜ਼ਾਕਸਨ	Саксония (земля)
ਜਾਨ ਲੈਨਨ	Леннон, Джон
ਇਲੀਨਾਏ	Иллинойс
ਉੱਤਰੀ ਡਕੋਟਾ	Северная Дакота
ਬ੍ਰਾਂਡਨਬੁਰਕ	Бранденбург
ਬਰੇਮਨ (ਰਾਜ)	Бремен (земля)
ਲੋਂਬਾਰਦੀਆ	Ломбардия
ਦੱਖਣੀ ਡਕੋਟਾ	Южная Дакота
ਮੋਂਟਾਨਾ	Монтана
ਵਾਇਓਮਿੰਗ	Вайоминг
ਪੀਏਮੋਂਤੇ	Пьемонт
ਜੇਰੂਸਲਮ	Иерусалим
ਆਇਡਾਹੋ	Айдахо
ਆਓਸਤਾ ਘਾਟੀ	Валле-д’Аоста
ਵਾਸ਼ਿੰਗਟਨ (ਰਾਜ)	Вашингтон (штат)
ਰੂਥੇਨੀਅਮ	Резерфордий
ਨਵਾਡਾ	Невада
ਡਾਨ (ਦਰਿਆ)	Дон
ਹਿੰਦ ਮਹਾਂਸਾਗਰ	Индийский океан
ਵੈਨੇਤੋ	Венето
ਕੋਸੋਵੋ ਗਣਰਾਜ	Республика Косово
ਕਰੀਬੀਆਈ ਸਮੁੰਦਰ	Карибское море
ਕੋਫ਼ੀ ਅੰਨਾਨ	Аннан, Кофи
ਲਿਗੂਰੀਆ	Лигурия
ਕੋਲੋਰਾਡੋ	Колорадо
ਏਮੀਲੀਆ-ਰੋਮਾਞਾ	Эмилия-Романья
ਕੋਲੋਰਾਡੋ ਦਰਿਆ	Колорадо (река)
ਫਰਾਦਾਰੀਕ ਸ਼ੋਪੁਹ	Шопен, Фредерик
ਤੋਸਕਾਨਾ	Тоскана
ਮਾਰਕੇ	Марке
ਅੰਬਰੀਆ	Умбрия
ਲਾਤਸੀਓ	Лацио
ਆਬਰੂਤਸੋ	Абруццо
ਐਪਨਾਈਨ ਪਹਾੜ	Апеннинские горы
ਐਲਪ	Альпы
ਕਾਰਪਾਤੀ ਪਹਾੜ	Карпаты
ਬਲੇਸ ਪਾਸਕਾਲ	Паскаль, Блез
ਸ਼ਿਕਾਗੋ	Чикаго
ਦ ਬੀਟਲਜ਼	The Beatles
ਸਿਆਲ	Зима
ਸਦਾਮ ਹੁਸੈਨ	Саддам Хусейн
ਸਪੇਨੀ ਭਾਸ਼ਾ	Испанский язык
ਮੋਂਤੇਵੀਦਿਓ	Монтевидео
ਯੋਹਾਨ ਸੇਬਾਸਤੀਅਨ ਬਾਖ਼	Бах, Иоганн Себастьян
ਪਿਟਸਬਰਗ	Питтсбург
ਓਪੇਰਾ	Опера
ਫ਼ਿਲਾਡੈਲਫ਼ੀਆ	Филадельфия
ਕੋਲਕਾਤਾ	Калькутта
ਚੇਨਈ	Ченнаи
ਦਿੱਲੀ	Дели
ਢਾਕਾ	Дакка
ਬੰਗਲੌਰ	Бангалор
ਪੱਛਮੀ ਬੰਗਾਲ	Западная Бенгалия
ਮੱਕੜੀ	Пауки
ਆਰਥਰੋਪੋਡ	Членистоногие
ਹੈਦਰਾਬਾਦ, ਭਾਰਤ	Хайдарабад (Индия)
ਇਸਲਾਮਾਬਾਦ	Исламабад
ਤ੍ਰਿਪੁਰਾ	Трипура
ਫਲ	Плод
ਮੁਦਰਾ	Деньги
ਵਰਜਿਨੀਆ	Виргиния
ਪੱਛਮੀ ਵਰਜਿਨੀਆ	Западная Виргиния
ਹਿਊਰਾਨ ਝੀਲ	Гурон
ਨਿਊ ਯਾਰਕ	Нью-Йорк (штат)
ਰੋਡ ਟਾਪੂ	Род-Айленд
ਮੈਰੀਲੈਂਡ	Мэриленд
ਡੇਲਾਵੇਅਰ	Делавэр
ਵਲਾਦੀਮੀਰ ਲੈਨਿਨ	Ленин, Владимир Ильич
ਯੂਰਪੀਅਮ	Европий
ਓਹਾਇਓ	Огайо
ਵਰਜਿਲ	Вергилий
ਨਿਕੋਲੋ ਮੈਕਿਆਵੇਲੀ	Макиавелли, Никколо
ਪੈੱਨਸਿਲਵੇਨੀਆ	Пенсильвания
ਜਿਓਵਾਨੀ ਬੋਕਾਸੀਓ	Джованни Боккаччо
ਲੁਈਗੀ ਪਿਰਾਂਦੋਲੋ	Пиранделло, Луиджи
ਆਗਸਟਸ ਕੈਸਰ	Октавиан Август
ਨਿਊ ਜਰਸੀ	Нью-Джерси
ਜਿਬਰਾਲਟਰ	Гибралтар
ਫ਼ਿਨੀ ਭਾਸ਼ਾ	Финский язык
ਇੰਡੀਆਨਾ	Индиана
ਨੋਕੀਆ	Nokia
ਕਾਰ	Автомобиль
ਜੁਵੇਂਟਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	Ювентус
ਤਰਾਜਾਨ	Траян
ਰਾਜਰ ਫੈਡਰਰ	Федерер, Роджер
ਜਾਰਜੀਆ (ਅਮਰੀਕੀ ਰਾਜ)	Джорджия
ਜ਼ਾਗਰਬ	Загреб
ਰਾਜਸਥਾਨ	Раджастхан
ਕਾਂਪਾਨੀਆ	Кампания (Италия)
ਟੈਕਸਸ	Техас
ਤਾਮਿਲ ਨਾਡੂ	Тамилнад
ਪੂਲੀਆ	Апулия
ਬਾਜ਼ਿਲੀਕਾਤਾ	Базиликата
ਉੱਤਰੀ ਕੈਰੋਲੀਨਾ	Северная Каролина
ਦੱਖਣੀ ਕੈਰੋਲੀਨਾ	Южная Каролина
ਯੂ. ਸੀ. ਸੰਪਦੋਰੀਆ	Сампдория
ਕਾਲਾਬਰੀਆ	Калабрия
ਸਿਚੀਲੀਆ	Сицилия
ਮਨੀਲਾ	Манила
ਸਾਰਦੇਞਾ	Сардиния
ਲੁਆਰ ਦਰਿਆ	Луара
ਸੈਨ ਦਰਿਆ	Сена
ਬੋਰਦੋ	Бордо
ਬੁਏਨਸ ਆਇਰਸ	Буэнос-Айрес
ਮੈਕਸੀਕੋ ਸ਼ਹਿਰ	Мехико
ਟੋਕੀਓ	Токио
ਲਾ ਪਾਸ	Ла-Пас (Боливия)
ਬਾਰਸੀਲੋਨਾ	Барселона
ਮਿਸੀਸਿੱਪੀ	Миссисипи (штат)
ਮਿੱਸੀਸਿੱਪੀ ਦਰਿਆ	Миссисипи
ਉੱਤਰ ਪ੍ਰਦੇਸ਼	Уттар-Прадеш
ਉੱਤਰਾਖੰਡ	Уттаракханд
ਮਿਜ਼ੋਰਮ	Мизорам
ਸਿੱਕਮ	Сикким
ਟੈਨੇਸੀ	Теннесси
ਰਾਬਰਟ ਲੂਈ ਸਟੀਵਨਸਨ	Стивенсон, Роберт Льюис
ਨਾਗਪੁਰ	Нагпур
ਅਬੀਜਾਨ	Абиджан
ਅਬੂ ਧਾਬੀ	Абу-Даби
ਅਸਤਾਨਾ	Астана
ਨਿਊ ਮੈਕਸੀਕੋ	Нью-Мексико
ਐਥਨਜ਼	Афины
ਮਿਨੇਸੋਟਾ	Миннесота
ਬਗ਼ਦਾਦ	Багдад
ਕਾਰਾਕਾਸ	Каракас
ਵਿਸਕਾਂਸਨ	Висконсин
ਪੁਣੇ	Пуна
ਏ.ਸੀ. ਮਿਲਣ	Милан (футбольный клуб)
ਆਇਓਵਾ	Айова
ਨਬਰਾਸਕਾ	Небраска
ਗੁਆਤੇਮਾਲਾ ਸ਼ਹਿਰ	Гватемала (город)
ਕਾਂਸਸ	Канзас
ਹਵਾਨਾ	Гавана
ਤਮਾਕੂ	Табак (вещество)
ਹਿੰਦੀ ਭਾਸ਼ਾ	Хинди
ਮਰਾਠੀ ਭਾਸ਼ਾ	Маратхи (язык)
ਗਣੇਸ਼	Ганеша
ਮਿਜ਼ੂਰੀ	Миссури (штат)
ਲੂਈਜ਼ੀਆਨਾ	Луизиана
ਲੂਗੀ ਗੇਲਵੈਨੀ	Гальвани, Луиджи
ਨਾਗਾਲੈਂਡ	Нагаленд
ਕਿੰਟਕੀ	Кентукки
ਆਰਕੰਸਾ	Арканзас
ਨੀਲ ਆਰਮਸਟਰਾਂਗ	Армстронг, Нил
ਉਰਦੂ ਭਾਸ਼ਾ	Урду
ਏਦੀਥ ਪੀਆਫ	Пиаф, Эдит
ਓਕਲਾਹੋਮਾ	Оклахома
ਦਨੂਬ ਦਰਿਆ	Дунай
ਰੂਆ ਦਰਿਆ	Рур (приток Рейна)
ਉੱਤਰੀ ਸਮੁੰਦਰ	Северное море
ਹੈਨੋਫ਼ਾ	Ганновер
ਮਿਊਨਿਖ	Мюнхен
ਵਾਲੀਬਾਲ	Волейбол
ਵਿਆਨਾ	Вена
ਕੋਪਨਹੈਗਨ	Копенгаген
ਸਟਾਕਹੋਮ	Стокгольм
ਹੈਲਸਿੰਕੀ	Хельсинки
ਡਬਲਿਨ	Дублин
ਰੇਕੀਆਵਿਕ	Рейкьявик
ਤਾਲਿਨ	Таллин
ਰੀਗਾ	Рига
ਲੁਈਸ ਆਰਮਸਟਰਾਂਗ	Армстронг, Луи
ਬ੍ਰਾਤਿਸਲਾਵਾ	Братислава
ਬੁਦਾਪੈਸਤ	Будапешт
ਫ਼ਰਾਂਕਫ਼ੁਰਟ	Франкфурт-на-Майне
ਲਕਸਮਬਰਗ (ਸ਼ਹਿਰ)	Люксембург (город)
ਫ਼ਾਦੁਤਸ	Вадуц
ਬਾਈਬਲ	Библия
ਪਨਾਮ ਪੈਨ	Пномпень
ਹੋ ਚੀ ਮਿਨ ਸ਼ਹਿਰ	Хошимин
ਇਟਰੀਅਮ	Иттербий
ਲੁਟੀਸ਼ੀਅਮ	Лютеций
ਹਨੋਈ	Ханой
ਟਰੂ ਜੀਸਸ ਚਰਚ	Церковь истинного Иисуса
ਅੰਗਰੇਜ਼ੀ ਭਾਸ਼ਾ	Английский язык
ਬੈਂਕਾਕ	Бангкок
ਅੰਡੋਰਾ ਲਾ ਵੇਲਾ	Андорра-ла-Велья
ਕੁਆਲਾ ਲੁੰਪੁਰ	Куала-Лумпур
ਤਾਈਪੇ	Тайбэй
ਕਾਂਸੇਪਸਿਉਂ	Консепсьон (город, Чили)
ਬਰਕੀਲੀਅਮ	Берклий
ਕੀਵ	Киев
ਓਂਟਾਰੀਓ	Онтарио
ਓਲਿਵਰ ਗਿਰੌਦ	Жиру, Оливье
ਓਟਾਵਾ	Оттава
ਜੂਬਾ	Джуба
ਮਾਨੀਟੋਬਾ	Манитоба
ਐਲਬਰਟਾ	Альберта
ਨੋਵਾ ਸਕੋਸ਼ਾ	Новая Шотландия
ਯੇਰਵਾਨ	Ереван
ਕਞ੍ਸ੍ਕਵਲਾ	Коньсковоля
ਦਾਰ ਅਸ ਸਲਾਮ	Дар-эс-Салам
ਖ਼ਰਤੂਮ	Хартум
ਨਿਊ ਬਰੰਸਵਿਕ	Нью-Брансуик
ਫ਼ਾਰਮੂਲਾ ਵਨ	Формула-1
ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ	Британская Колумбия
ਪ੍ਰਿੰਸ ਐਡਵਰਡ ਟਾਪੂ	Остров Принца Эдуарда
ਜੈਰਲੌਂ ਸਟੇਡੀਅਮ	Жерлан (стадион)
2000	2000 год
2003	2003 год
੨੦੦੨	2002 год
2001	2001 год
ਸਸਕਾਚਵਾਨ	Саскачеван
੨੦੧੨	2012 год
੨੦੧੧	2011 год
੨੦੧੦	2010 год
੨੦੦੯	2009 год
ਕਾਰਬਨ ਡਾਈਆਕਸਾਈਡ	Диоксид углерода
੨੦੧੫	2015 год
ਨਿਊਫ਼ੰਡਲੈਂਡ ਅਤੇ ਲਾਬਰਾਡੋਰ	Ньюфаундленд и Лабрадор
੨੦੦੮	2008 год
ਉੱਤਰ-ਪੱਛਮੀ ਰਾਜਖੇਤਰ	Северо-Западные территории
ਯੂਕੋਨ	Юкон (территория)
੨੦੦੪	2004 год
੨੦੦੫	2005 год
੨੦੦੬	2006 год
ਨੂਨਾਵੁਤ	Нунавут
੨੦੦੭	2007 год
੧੯੦੦	1900 год
੧੯੦੧	1901 год
੧੯੦੨	1902 год
੧੯੦੩	1903 год
੧੯੦੪	1904 год
1905	1905 год
1907	1907 год
੧੯੦੬	1906 год
ਏਸੀਐਫ ਫਿਓਰੇਂਟੀਨਾ	Фиорентина
1908	1908 год
੧੯੦੯	1909 год
1992	1992 год
੧੯੯੧	1991 год
1990	1990 год
੧੯੯੩	1993 год
ਐੱਸਨ	Эссен
1994	1994 год
੧੯੯੫	1995 год
1996	1996 год
ਜੇਨੋਵਾ ਸੀ. ਐੱਫ਼. ਸੀ.	Дженоа
1910	1910 год
1911	1911 год
1912	1912 год
ਲਾਈਪਸਿਸ਼	Лейпциг
੧੯੧੩	1913 год
੧੯੧੪	1914 год
1915	1915 год
੧੯੧੬	1916 год
੧੯੯੭	1997 год
1998	1998 год
੧੯੯੯	1999 год
1917	1917 год
੧੯੧੮	1918 год
ਭੋਜਨ	Пища
ਐਡਮੰਟਨ	Эдмонтон
ਸੱਪ	Змеи
ਰਿਜਾਇਨਾ	Реджайна
ਸ਼ਾਰਲਟਟਾਊਨ	Шарлоттаун
ਵਿਕਟੋਰੀਆ, ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ	Виктория (Британская Колумбия)
ਵਿਨੀਪੈਗ	Виннипег
ਹੈਲੀਫ਼ੈਕਸ, ਨੋਵਾ ਸਕੋਸ਼ਾ	Галифакс (Новая Шотландия)
ਕੇਬੈਕ ਸ਼ਹਿਰ	Квебек (город)
੧ ਜਨਵਰੀ	1 января
੨ ਜਨਵਰੀ	2 января
ਸੁਭਾਸ਼ ਚੰਦਰ ਬੋਸ	Бос, Субхас Чандра
੧੯੨੦	1920 год
3 ਜਨਵਰੀ	3 января
1919	1919 год
੧੯੨੧	1921 год
1922	1922 год
੪ ਜਨਵਰੀ	4 января
1923	1923 год
1924	1924 год
ਲੈਨਿਨਗ੍ਰਾਦ ਓਬਲਾਸਤ	Ленинградская область
5 ਜਨਵਰੀ	5 января
ਆਰੀਕਾ	Арика
੬ ਜਨਵਰੀ	6 января
ਬਿਜਲਾਣੂ	Электрон
7 ਜਨਵਰੀ	7 января
੮ ਜਨਵਰੀ	8 января
੯ ਜਨਵਰੀ	9 января
੧੦ ਜਨਵਰੀ	10 января
੧੧ ਜਨਵਰੀ	11 января
12 ਜਨਵਰੀ	12 января
੧੩ ਜਨਵਰੀ	13 января
ਬਰਮਿੰਘਮ	Бирмингем
੧੪ ਜਨਵਰੀ	14 января
15 ਜਨਵਰੀ	15 января
16 ਜਨਵਰੀ	16 января
17 ਜਨਵਰੀ	17 января
18 ਜਨਵਰੀ	18 января
੧੯ ਜਨਵਰੀ	19 января
੨੦ ਜਨਵਰੀ	20 января
ਸਨਅਤੀ ਇਨਕਲਾਬ	Промышленная революция
ਬੈਨਜ਼ੀਨ	Бензол
21 ਜਨਵਰੀ	21 января
੨੨ ਜਨਵਰੀ	22 января
੨੩ ਜਨਵਰੀ	23 января
ਰੋਮਨ ਸਮਰਾਜ	Римская империя
੨੪ ਜਨਵਰੀ	24 января
25 ਜਨਵਰੀ	25 января
ਮਿੰਸਕ	Минск
26 ਜਨਵਰੀ	26 января
੨੭ ਜਨਵਰੀ	27 января
੨੮ ਜਨਵਰੀ	28 января
੨੯ ਜਨਵਰੀ	29 января
੩੦ ਜਨਵਰੀ	30 января
੩੧ ਜਨਵਰੀ	31 января
ਪ੍ਰੋਟਾਨ	Протон
2 ਦਸੰਬਰ	2 декабря
੧ ਦਸੰਬਰ	1 декабря
੩ ਦਸੰਬਰ	3 декабря
੭ ਦਸੰਬਰ	7 декабря
5 ਦਸੰਬਰ	5 декабря
8 ਦਸੰਬਰ	8 декабря
੧੦ ਦਸੰਬਰ	10 декабря
6 ਦਸੰਬਰ	6 декабря
੯ ਦਸੰਬਰ	9 декабря
੪ ਦਸੰਬਰ	4 декабря
੧ ਫ਼ਰਵਰੀ	1 февраля
੨ ਫ਼ਰਵਰੀ	2 февраля
੩ ਫ਼ਰਵਰੀ	3 февраля
ਕੂਰੋਫ	Курув
੪ ਫ਼ਰਵਰੀ	4 февраля
੫ ਫ਼ਰਵਰੀ	5 февраля
6 ਫ਼ਰਵਰੀ	6 февраля
7 ਫ਼ਰਵਰੀ	7 февраля
8 ਫ਼ਰਵਰੀ	8 февраля
੯ ਫ਼ਰਵਰੀ	9 февраля
੧੦ ਫ਼ਰਵਰੀ	10 февраля
ਰਸਾਇਣ ਵਿਗਿਆਨ	Химия
14 ਫ਼ਰਵਰੀ	14 февраля
13 ਫ਼ਰਵਰੀ	13 февраля
੧੫ ਫ਼ਰਵਰੀ	15 февраля
11 ਫ਼ਰਵਰੀ	11 февраля
12 ਫ਼ਰਵਰੀ	12 февраля
ਰੋਬਿਨ ਵੈਨ ਪਰਸੀ	Ван Перси, Робин
੧੯ ਫ਼ਰਵਰੀ	19 февраля
੧੭ ਫ਼ਰਵਰੀ	17 февраля
੧੬ ਫ਼ਰਵਰੀ	16 февраля
18 ਫ਼ਰਵਰੀ	18 февраля
੨੦ ਫ਼ਰਵਰੀ	20 февраля
ਅਬਿਜਲਕਣ	Нейтрон
੨੧ ਫ਼ਰਵਰੀ	21 февраля
੨੨ ਫ਼ਰਵਰੀ	22 февраля
੨੩ ਫ਼ਰਵਰੀ	23 февраля
੨੪ ਫ਼ਰਵਰੀ	24 февраля
25 ਫ਼ਰਵਰੀ	25 февраля
੨੬ ਫ਼ਰਵਰੀ	26 февраля
੨੭ ਫ਼ਰਵਰੀ	27 февраля
੨੮ ਫ਼ਰਵਰੀ	28 февраля
੧੧ ਦਸੰਬਰ	11 декабря
੨੯ ਫ਼ਰਵਰੀ	29 февраля
੧੨ ਦਸੰਬਰ	12 декабря
੧੩ ਦਸੰਬਰ	13 декабря
14 ਦਸੰਬਰ	14 декабря
੧੫ ਦਸੰਬਰ	15 декабря
2 ਮਾਰਚ	2 марта
3 ਮਾਰਚ	3 марта
5 ਮਾਰਚ	5 марта
1 ਮਾਰਚ	1 марта
7 ਮਾਰਚ	7 марта
੮ ਮਾਰਚ	8 марта
4 ਮਾਰਚ	4 марта
੧੦ ਮਾਰਚ	10 марта
੧੧ ਮਾਰਚ	11 марта
6 ਮਾਰਚ	6 марта
੧੩ ਮਾਰਚ	13 марта
9 ਮਾਰਚ	9 марта
੧੨ ਮਾਰਚ	12 марта
੧੫ ਮਾਰਚ	15 марта
੧੪ ਮਾਰਚ	14 марта
ਸੀ++	C++
ਲੂਣ ਦਾ ਤਿਜ਼ਾਬ	Соляная кислота
੧੬ ਦਸੰਬਰ	16 декабря
੧੭ ਦਸੰਬਰ	17 декабря
16 ਮਾਰਚ	16 марта
੧੭ ਮਾਰਚ	17 марта
੧੮ ਮਾਰਚ	18 марта
੧੯ ਮਾਰਚ	19 марта
1989	1989 год
1988	1988 год
੨੦ ਮਾਰਚ	20 марта
੧੯੮੭	1987 год
੧੯੮੬	1986 год
੧੯੮੫	1985 год
1984	1984 год
੨੧ ਮਾਰਚ	21 марта
੧੯੮੩	1983 год
੨੨ ਮਾਰਚ	22 марта
1982	1982 год
੧੯੮੧	1981 год
੧੮ ਦਸੰਬਰ	18 декабря
੧੯੮੦	1980 год
੨੩ ਮਾਰਚ	23 марта
ਮਕਦੀਸ਼ੂ	Могадишо
19 ਦਸੰਬਰ	19 декабря
੨੪ ਮਾਰਚ	24 марта
੨੫ ਮਾਰਚ	25 марта
੨੦ ਦਸੰਬਰ	20 декабря
੨੬ ਮਾਰਚ	26 марта
੨੭ ਮਾਰਚ	27 марта
੨੮ ਮਾਰਚ	28 марта
੨੯ ਮਾਰਚ	29 марта
੩੦ ਮਾਰਚ	30 марта
੩੧ ਮਾਰਚ	31 марта
ਨਸਾਊ	Нассау (Багамские Острова)
ਸਨਾ	Сана
੧੯੭੦	1970 год
1971	1971 год
1972	1972 год
1973	1973 год
1974	1974 год
1975	1975 год
1976	1976 год
੧੯੭੭	1977 год
੧੯੭੮	1978 год
੧੯੭੯	1979 год
੧੯੬੯	1969 год
ਤੀਹ-ਸਾਲਾ ਜੰਗ	Тридцатилетняя война
ਸਰਪਿਲ ਆਕਾਸ਼ਗੰਗਾ	Спиральная галактика
15 ਅਪਰੈਲ	15 апреля
੧੩ ਅਪ੍ਰੈਲ	13 апреля
12 ਅਪ੍ਰੈਲ	12 апреля
14 ਅਪ੍ਰੈਲ	14 апреля
11 ਅਪ੍ਰੈਲ	11 апреля
੧੦ ਅਪ੍ਰੈਲ	10 апреля
੮ ਅਪਰੈਲ	8 апреля
9 ਅਪ੍ਰੈਲ	9 апреля
੭ ਅਪ੍ਰੈਲ	7 апреля
੬ ਅਪ੍ਰੈਲ	6 апреля
੫ ਅਪ੍ਰੈਲ	5 апреля
4 ਅਪ੍ਰੈਲ	4 апреля
੩ ਅਪ੍ਰੈਲ	3 апреля
1 ਅਪ੍ਰੈਲ	1 апреля
