Африк	Африка
3 сарын 10	10 марта
3 сарын 11	11 марта
3 сарын 6	6 марта
3 сарын 13	13 марта
3 сарын 9	9 марта
3 сарын 12	12 марта
3 сарын 15	15 марта
3 сарын 14	14 марта
C++	C++
12 сарын 16	16 декабря
12 сарын 17	17 декабря
3 сарын 16	16 марта
3 сарын 17	17 марта
3 сарын 18	18 марта
Ярославль	Ярославль
3 сарын 19	19 марта
1989 он	1989 год
1988 он	1988 год
3 сарын 20	20 марта
1987 он	1987 год
1986 он	1986 год
1985 он	1985 год
1984 он	1984 год
3 сарын 21	21 марта
1983 он	1983 год
3 сарын 22	22 марта
1982 он	1982 год
1981 он	1981 год
12 сарын 18	18 декабря
1980 он	1980 год
3 сарын 23	23 марта
12 сарын 19	19 декабря
3 сарын 24	24 марта
3 сарын 25	25 марта
12 сарын 20	20 декабря
3 сарын 26	26 марта
3 сарын 27	27 марта
3 сарын 28	28 марта
3 сарын 29	29 марта
3 сарын 30	30 марта
3 сарын 31	31 марта
Адаг чуулганы галактик	Галактика Андромеды
Санаа хот	Сана
1970 он	1970 год
1971 он	1971 год
1972 он	1972 год
1973 он	1973 год
1974 он	1974 год
1975 он	1975 год
1976 он	1976 год
1977 он	1977 год
1978 он	1978 год
1979 он	1979 год
1969 он	1969 год
Мушгиа галактик	Спиральная галактика
XVI Бенедикт	Бенедикт XVI
4 сарын 15	15 апреля
4 сарын 13	13 апреля
4 сарын 12	12 апреля
4 сарын 14	14 апреля
4 сарын 11	11 апреля
4 сарын 10	10 апреля
4 сарын 8	8 апреля
4 сарын 9	9 апреля
4 сарын 7	7 апреля
4 сарын 6	6 апреля
4 сарын 5	5 апреля
4 сарын 4	4 апреля
4 сарын 3	3 апреля
4 сарын 1	1 апреля
4 сарын 2	2 апреля
4 сарын 16	16 апреля
4 сарын 17	17 апреля
4 сарын 18	18 апреля
4 сарын 19	19 апреля
4 сарын 20	20 апреля
4 сарын 21	21 апреля
4 сарын 22	22 апреля
4 сарын 23	23 апреля
4 сарын 24	24 апреля
4 сарын 25	25 апреля
4 сарын 26	26 апреля
4 сарын 27	27 апреля
4 сарын 28	28 апреля
4 сарын 29	29 апреля
4 сарын 30	30 апреля
Хорст Көлэр	Кёлер, Хорст
5 сарын 1	1 мая
5 сарын 2	2 мая
5 сарын 3	3 мая
5 сарын 4	4 мая
5 сарын 5	5 мая
5 сарын 6	6 мая
5 сарын 7	7 мая
5 сарын 8	8 мая
5 сарын 9	9 мая
5 сарын 10	10 мая
5 сарын 11	11 мая
5 сарын 12	12 мая
5 сарын 13	13 мая
5 сарын 14	14 мая
5 сарын 15	15 мая
Титан (сар)	Титан (спутник)
5 сарын 16	16 мая
5 сарын 17	17 мая
5 сарын 18	18 мая
5 сарын 19	19 мая
5 сарын 20	20 мая
5 сарын 21	21 мая
5 сарын 22	22 мая
5 сарын 23	23 мая
5 сарын 24	24 мая
5 сарын 25	25 мая
5 сарын 26	26 мая
5 сарын 27	27 мая
5 сарын 28	28 мая
5 сарын 29	29 мая
5 сарын 30	30 мая
5 сарын 31	31 мая
Пол Маккартни	Маккартни, Пол
12 сарын 21	21 декабря
6 сарын 14	14 июня
6 сарын 15	15 июня
6 сарын 13	13 июня
6 сарын 10	10 июня
6 сарын 7	7 июня
6 сарын 11	11 июня
6 сарын 9	9 июня
6 сарын 12	12 июня
6 сарын 6	6 июня
6 сарын 8	8 июня
6 сарын 5	5 июня
6 сарын 3	3 июня
6 сарын 2	2 июня
6 сарын 1	1 июня
6 сарын 4	4 июня
Вальтер Ульбрихт	Ульбрихт, Вальтер
Иваново	Иваново
Ринго Старр	Ринго Старр
12 сарын 22	22 декабря
Жорж Харрисон	Харрисон, Джордж
1968 он	1968 год
1967 он	1967 год
1966 он	1966 год
1965 он	1965 год
1964 он	1964 год
6 сарын 16	16 июня
Иваново муж	Ивановская область
Палермо	Палермо
6 сарын 30	30 июня
6 сарын 29	29 июня
6 сарын 28	28 июня
6 сарын 26	26 июня
6 сарын 25	25 июня
6 сарын 22	22 июня
6 сарын 27	27 июня
6 сарын 24	24 июня
6 сарын 20	20 июня
6 сарын 23	23 июня
6 сарын 19	19 июня
6 сарын 18	18 июня
6 сарын 21	21 июня
6 сарын 17	17 июня
12 сарын 23	23 декабря
Брюс Уиллис	Уиллис, Брюс
Владимир хот	Владимир (город)
Арнольд Шварценеггер	Шварценеггер, Арнольд
7 сарын 15	15 июля
7 сарын 13	13 июля
7 сарын 12	12 июля
7 сарын 10	10 июля
7 сарын 9	9 июля
7 сарын 14	14 июля
7 сарын 8	8 июля
7 сарын 7	7 июля
7 сарын 6	6 июля
7 сарын 5	5 июля
7 сарын 2	2 июля
7 сарын 4	4 июля
7 сарын 3	3 июля
7 сарын 1	1 июля
7 сарын 11	11 июля
Владимир муж	Владимирская область
12 сарын 24	24 декабря
7 сарын 31	31 июля
7 сарын 30	30 июля
7 сарын 29	29 июля
7 сарын 28	28 июля
7 сарын 27	27 июля
7 сарын 25	25 июля
7 сарын 24	24 июля
7 сарын 23	23 июля
7 сарын 26	26 июля
7 сарын 22	22 июля
7 сарын 19	19 июля
7 сарын 21	21 июля
7 сарын 20	20 июля
7 сарын 17	17 июля
7 сарын 18	18 июля
7 сарын 16	16 июля
Хөлбөмбөг	Футбол
Луй де Фунес	Фюнес, Луи де
Мюнстер	Мюнстер
12 сарын 25	25 декабря
Рязань	Рязань
Аугсбург	Аугсбург
Рязань муж	Рязанская область
1963 он	1963 год
Лех Качински	Качиньский, Лех
12 сарын 26	26 декабря
Холокост	Холокост
1962 он	1962 год
IPhone	IPhone
Тула	Тула
Өрнө Суматра	Западная Суматра
8 сарын 14	14 августа
8 сарын 15	15 августа
8 сарын 13	13 августа
8 сарын 12	12 августа
8 сарын 11	11 августа
8 сарын 10	10 августа
8 сарын 8	8 августа
8 сарын 7	7 августа
8 сарын 9	9 августа
8 сарын 5	5 августа
8 сарын 4	4 августа
8 сарын 2	2 августа
8 сарын 3	3 августа
8 сарын 6	6 августа
8 сарын 1	1 августа
Тула муж	Тульская область
12 сарын 27	27 декабря
Мадрид	Мадрид
Брянск муж	Брянская область
8 сарын 16	16 августа
Кока-Кола	Кока-кола
8 сарын 29	29 августа
8 сарын 28	28 августа
8 сарын 30	30 августа
8 сарын 25	25 августа
8 сарын 26	26 августа
8 сарын 23	23 августа
8 сарын 27	27 августа
8 сарын 21	21 августа
8 сарын 20	20 августа
8 сарын 24	24 августа
8 сарын 18	18 августа
