Hui-chiu	Африка
Seng-thài-hē	Экосистема
Auckland Bûn-lí Ha̍k-hāu	Оклендская гимназия
Milwaukee	Милуоки
Baroque	Барокко
Chó-lūi	Водоросли
Natalie Portman	Портман, Натали
Hái-kiap	Пролив
Nobel Bûn-ha̍k Chióng	Нобелевская премия по литературе
Han-chî	Батат
Sapporo-chhī	Саппоро
N̂g-hái	Жёлтое море
Gregor Mendel	Мендель, Грегор Иоганн
Akihito	Акихито
Kärnten	Каринтия
St. Louis, Missouri	Сент-Луис
Herta Müller	Мюллер, Герта
Gallia	Галлия
Chûn-chāi-chú-gī	Экзистенциализм
Bē-tâng-lô	McDonald’s
Lewis Carroll	Льюис Кэрролл
Paraíba	Параиба
Galápagos Kûn-tó	Галапагос (острова)
Nobel Bu̍t-lí-ha̍k Chióng	Нобелевская премия по физике
Leonardo DiCaprio	Ди Каприо, Леонардо
Phīⁿ-kut	Носовая кость
Arthur Schopenhauer	Шопенгауэр, Артур
Helen Keller	Келлер, Хелен Адамс
Nagasaki-chhī	Нагасаки
Yokohama-chhī	Иокогама
1840 nî-tāi	1840-е годы
Alexandre Dumas	Дюма, Александр (отец)
Henry 8-sè (Eng-tē)	Генрих VIII
William Faulkner	Фолкнер, Уильям
Columbia, South Carolina	Колумбия (Южная Каролина)
Romano Prodi	Проди, Романо
Xena: Warrior Princess	Зена — королева воинов
Santa Fe, New Mexico	Санта-Фе (Нью-Мексико)
14	14 (число)
Si-koe	Арбуз обыкновенный
1880 nî-tāi	1880-е годы
15	15 (число)
18	18 (число)
Helena, Montana	Хелена (Монтана)
Bertolt Brecht	Брехт, Бертольт
Bío-Bío Tāi-ha̍k	Университет Био-Био
Hamas	ХАМАС
Suva	Сува
Ruhollah Khomeini	Хомейни, Рухолла Мусави
Nuku'alofa	Нукуалофа
Tāng-kim-sio̍k im-ga̍k	Метал
Isihara Sintarô	Исихара, Синтаро
Káu-chàn-thah	Базилик душистый
Aswan Chúi-khò͘	Асуанский гидроузел
Lô-má sò͘-jī	Римские цифры
Sin-bûn	Новости
Bō͘-bêng-chhī	Маомин
Kok-chè Hū-lú-cheh	Международный женский день
1890 nî-tāi	1890-е годы
Vorarlberg	Форарльберг
Tân Khèng-iām	Тони Тан
Hông-tè	Император
Cheyenne, Wyoming	Шайенн (Вайоминг)
Pisa Siâ Thah	Пизанская башня
Pak-poàn-kiû	Северное полушарие
Kò-thé-keng-chè-ha̍k	Микроэкономика
Jîn-bîn-pè	Китайский юань
Minas Gerais	Минас-Жерайс
Port-of-Spain	Порт-оф-Спейн
Thióng-bu̍t	Животные-компаньоны
John Steinbeck	Стейнбек, Джон
Siáu-káu-pēⁿ	Бешенство
Richard Feynman	Фейнман, Ричард Филлипс
Chhí	Домовые мыши
Khun-thiông-ha̍k	Энтомология
Hz	Герц (единица измерения)
Pó͘-thâu	Топор
Chhiau-hiān-si̍t-chú-gī	Сюрреализм
Anchorage	Анкоридж
Emma Watson	Уотсон, Эмма
1830 nî-tāi	1830-е годы
Pará	Пара (штат)
Bluetooth	Bluetooth
Ke-si	Инструмент
Michael Phelps	Фелпс, Майкл
Chhù-piⁿ Totoro	Мой сосед Тоторо
Soàⁿ-lia̍p-thé	Митохондрия
1800 nî-tāi	1800-е годы
Hái-oan	Залив
Christiaan Huygens	Гюйгенс, Христиан
Antoine Lavoisier	Лавуазье, Антуан Лоран
I-su	Врач
Eyjafjallajökull	Эйяфьядлайёкюдль
Chóng-thé-keng-chè-ha̍k	Макроэкономика
Des Moines	Де-Мойн
Teng-thah	Маяк
The Rescuers	Спасатели (мультфильм)
Pe̍h-kok	Прибалтика
Laoag	Лаоаг
Jack Nicholson	Николсон, Джек
Bî-seng-bu̍t	Микроорганизмы
1860 nî-tāi	1860-е годы
1870 nî-tāi	1870-е годы
19	19 (число)
Nî-tāi	Десятилетие
Siú-ní Tāi-ha̍k-hāu	Сеульский национальный университет
Auguste Renoir	Ренуар, Пьер Огюст
Lō͘-ka Hok-im	Евангелие от Луки
Concepción Séng	Консепсьон (провинция, Чили)
Thài-iông-lêng	Солнечная энергетика
Rio Grande do Sul	Риу-Гранди-ду-Сул
Amazonas (Pa-se)	Амазонас
Ím-liāu	Напиток
Tiān-náu thêng-sek	Компьютерная программа
Lô-tōng Tóng	Лейбористская партия
Bîn-chú Tóng	Демократическая партия
ㄱ	Киёк
17	17 (число)
ㄴ	Ниын
Ceará	Сеара
ㄷ	Тигыт
Amapá	Амапа
ㄹ	Риыль
ㅁ	Миым
ㅂ	Пиып
Chiuⁿ-hî	Осьминоги
ㅅ	Сиот
ㅈ	Чиыт
ㅊ	Чхиыт
ㅋ	Кхиык
ㅍ	Пхиып
Sîn-khiok	Божественная комедия
1810 nî-tāi	1810-е годы
William Butler Yeats	Йейтс, Уильям Батлер
Soán-kí	Выборы
Manaus	Манаус
Antalya (séng)	Анталья (ил)
16	16 (число)
Sè-pau-hu̍t	Клеточное ядро
Porto Alegre	Порту-Алегри
Sin Guinea	Новая Гвинея
20	20 (число)
The Fox and the Hound	Лис и пёс
Sù-tô͘ Hēng-toān	Деяния святых апостолов
Norman, Oklahoma	Норман (Оклахома)
Kaⁿ-ga̍k	Тюрьма
Cho͘-chit (seng-bu̍t-ha̍k)	Ткань (биология)
Ìn-siōng-phài	Импрессионизм
Bahia	Баия
Buffalo, New York	Буффало
あ	А (кана)
い	И (кана)
Bí-liân-siā	Ассошиэйтед Пресс
う	У (кана)
Joan Crawford	Джоан Кроуфорд
え	Э (кана)
お	О (кана)
か	Ка (кана)
Julia Roberts	Робертс, Джулия
N̂g-tō cha̍p-jī seng-chō	Зодиак
き	Ки (кана)
Adana (séng)	Адана (ил)
く	Ку (кана)
Hui-chiu-kak	Африканский Рог
け	Кэ (кана)
Sio-ián	Сумо
こ	Ко (кана)
Heath Ledger	Леджер, Хит
さ	Са (кана)
し	Си (кана)
す	Су (кана)
Kiōng-sán-tóng Soan-giân	Манифест коммунистической партии
せ	Сэ (кана)
そ	Со (кана)
Édouard Manet	Мане, Эдуард
Large Hadron Collider	Большой адронный коллайдер
た	Та (кана)
ち	Ти (кана)
Zhytomyr séng	Житомирская область
つ	Цу (кана)
て	Тэ (кана)
と	То (кана)
な	На (кана)
に	Ни (кана)
ぬ	Ну (кана)
ね	Нэ (кана)
の	Но (кана)
は	Ха (кана)
ひ	Хи (кана)
Paulínia	Паулиния
ふ	Фу (кана)
へ	Хэ (кана)
Jennifer Lopez	Лопес, Дженнифер
Dilma Rousseff	Русеф, Дилма
ほ	Хо (кана)
ま	Ма (кана)
み	Ми (кана)
Pierre, South Dakota	Пирр (Южная Дакота)
む	Му (кана)
め	Мэ (кана)
も	Мо (кана)
Chí	Семя
や	Я (кана)
ゆ	Ю (кана)
Acre	Акри
よ	Ё (кана)
ら	Ра (кана)
り	Ри (кана)
る	Ру (кана)
Chîm-á	Крабы
れ	Рэ (кана)
ろ	Ро (кана)
わ	Ва (кана)
を	О служебная
ん	Н (кана)
Goā-kho-ha̍k	Хирургия
Knut Hamsun	Гамсун, Кнут
ゑ	Вэ (кана)
ゐ	Ви (кана)
Thian-jiân-khì	Природный газ
Oort-hûn	Облако Оорта
Làu-sái	Диарея
Carson City	Карсон-Сити (Невада)
Alagoas	Алагоас
Andaman kap Nicobar Kûn-tó	Андаманские и Никобарские острова
Dumbo	Дамбо
Virginia Woolf	Вулф, Вирджиния
Frank Sinatra	Синатра, Фрэнк
Honiara	Хониара
1850 nî-tāi	1850-е годы
Eva Perón	Перон, Эва
PH	Водородный показатель
Pernambuco	Пернамбуку
An-hui-séng	Аньхой
Âng-seng-seng	Орангутаны
Hizb Allah	Хезболла
Thâu-hia̍h	Лоб
Topeka	Топика (Канзас)
Avenida Paulista	Авенида Паулиста
Mariah Carey	Кэри, Мэрайя
Lāi-bông-kó͘ Chū-tī-khu	Внутренняя Монголия
Mûi-to̍k	Сифилис
Raleigh, North Carolina	Роли (Северная Каролина)
Kumagaya-chhī	Кумагая
Santa Catarina	Санта-Катарина
Kim Ji̍t-sêng	Ким Ир Сен
Assyria	Ассирия
Jane Fonda	Фонда, Джейн
Táchira	Тачира
Apure	Апуре
Martin Scorsese	Скорсезе, Мартин
Demi Lovato	Ловато, Деми
Kiàn-tio̍k-bu̍t	Здание
La Marseillaise	Марсельеза
Sony	Sony
Gîn-kak-á	Монета
Pa-pia̍t Thah	Вавилонская башня
Boris Leonidovič Pasternak	Пастернак, Борис Леонидович
Lâm-poàn-kiû	Южное полушарие
Opera	Opera
Grammy Chióng	Грэмми
Nottingham	Ноттингем
Johannes Vermeer	Вермеер, Ян
Kok-chè-hòa kap chāi-tē-hòa	Локализация программного обеспечения
Ūn-tōng-liōng	Импульс
Jîn-kó	Яблоко (ботаника)
Kong-chiu-chhī	Кванджу
John Dalton	Дальтон, Джон
Basseterre	Бастер
Cha̍p-chì	Журнал
Liszt Ferenc	Лист, Ференц
Linz	Линц
Phô-tô-iū	Грейпфрут
Steiermark	Штирия (земля)
Kurt Gödel	Гёдель, Курт
Teletubbies	Телепузики
Edvard Munch	Мунк, Эдвард
Federico García Lorca	Гарсиа Лорка, Федерико
Michael Jordan	Джордан, Майкл
Rio de Janeiro (chiu)	Рио-де-Жанейро (штат)
Guinea-oan	Гвинейский залив
Peng-kiû	Хоккей с шайбой
Kingstown, Sèng Vincent kap Grenadines	Кингстаун
Hoat-īⁿ	Суд
Wole Soyinka	Шойинка, Воле
Lī-bī-kì	Книга Левит
Thanjavur	Танджавур
Henryk Sienkiewicz	Сенкевич, Генрик
Gî-pê (koé-chí)	Мушмула японская
William Blake	Блейк, Уильям
Wimbledon Kím-phiau-sài	Уимблдонский турнир
Carl Gustav Jung	Юнг, Карл Густав
St. George's, Grenada	Сент-Джорджес
OECD	Организация экономического сотрудничества и развития
Nicolas Poussin	Пуссен, Никола
Jacques Offenbach	Оффенбах, Жак
Un-sek hāu-èng	Парниковый эффект
Julia Gillard	Гиллард, Джулия
Iûⁿ-hîn	Эпилепсия
Alkane	Алканы
David Hilbert	Гильберт, Давид
Goiás	Гояс
Christina Aguilera	Агилера, Кристина
Iân-sui	Кориандр
Kun-chú li̍p-hiàn	Конституционная монархия
Lâu Hiáu-pho	Лю Сяобо
Cheng-sîn-hun-sek	Психоанализ
Castries	Кастри
Hok-kiàn-séng	Фуцзянь
Cho̍k-kûn	Этническая группа
Ká-soat	Гипотеза
Klagenfurt am Wörthersee	Клагенфурт
Obama-chhī	Обама (город)
Tiong-iong Tāi-ha̍k-hāu	Университет Чунан
Kansas City, Missouri	Канзас-Сити (Миссури)
Aden-oan	Аденский залив
Banff Kok-ka Kong-hn̂g	Банф (национальный парк)
Ko-hoeh-ap	Артериальная гипертензия
Reims	Реймс
Oberösterreich	Верхняя Австрия
Oán-tang Liân-pang Koán-khu	Дальневосточный федеральный округ
Kok-chè Goân-chú Lêng-goân Ki-kò͘	Международное агентство по атомной энергии
Âng-hoh	Фламинго
O͘-sí-pēⁿ	Чёрная смерть
Chú-khoân	Суверенитет
Haiena	Гиены
Denzel Washington	Вашингтон, Дензел
Chè-chiu-chhī	Чеджу (город)
Henri Bergson	Бергсон, Анри
Goth lâng	Готы
Khóng-sek Hái-ang	Синий кит
Hái-lâm-séng	Хайнань
Michelangelo Merisi da Caravaggio	Караваджо
Hàn-gí Pheng-im	Пиньинь
Oán-tang	Дальний Восток
Mel Gibson	Гибсон, Мел
Sully Prudhomme	Сюлли-Прюдом
Mirante do Vale	Миранти-ду-Вали
Europa Thài-khong Chóng-sú	Европейское космическое агентство
Se-pan-gâ kok-ka kha-kiû-tūi	Сборная Испании по футболу
Gâm-chiuⁿ	Магма
Bernhard Riemann	Риман, Бернхард
Hái-tō Kûn-tó	Нормандские острова
40	40 (число)
Martin Weinek	Вайнек, Мартин
Maranhão	Мараньян
Kó͘ Eng-gí	Древнеанглийский язык
Seng-hûn	Туманность
Kok-chè Bó-gí-ji̍t	Международный день родного языка
Chi-ku-la̍t-châng	Какао
Sek-an-chú-gī	Сионизм
Kam-siok-séng	Ганьсу
Michail Aleksandrovič Šolochov	Шолохов, Михаил Александрович
Andrea Bocelli	Бочелли, Андреа
Evo Morales	Моралес, Эво
Taliban	Талибан
Anatole France	Франс, Анатоль
Björk	Бьорк
York	Йорк
Perl	Perl
Katy Perry	Кэти Перри
Niederösterreich	Нижняя Австрия
Iâ-so͘ Ki-tok Āu-kî Sèng-tô͘ Kàu-hōe	Церковь Иисуса Христа Святых последних дней
Roraima	Рорайма
H. G. Wells	Уэллс, Герберт Джордж
San-ô͘-tó	Атолл
Jia̍t-tài	Тропики
Bí-kok kok-kî	Флаг Соединённых Штатов Америки
Thomas More	Мор, Томас
Kiuⁿ-n̂g	Куркума длинная
James Cameron	Кэмерон, Джеймс
Keira Knightley	Найтли, Кира
MP3	MP3
Frédéric Mistral	Мистраль, Фредерик
Siām-lô niau	Сиамская кошка
Pho-su niau	Персидская кошка
Sin-bēng-kì	Второзаконие
So͘-chiu-chhī	Сучжоу (Цзянсу)
Chio̍h-hó͘	Бенгальская кошка
Un-chiu-chhī	Вэньчжоу
Windsor Siâⁿ-pó	Виндзорский замок
Bû-sek-chhī	Уси
Ô͘-chiu-chhī	Хучжоу
Siāu-heng-chhī	Шаосин
Frank Gorshin	Горшин, Фрэнк
Chúi-gû	Азиатский буйвол
Piauí	Пиауи
Fernando Torres	Торрес, Фернандо
Olympia, Washington	Олимпия (Вашингтон)
Hàn-cho̍k	Хань (народ)
Rita Hayworth	Хейворт, Рита
Heinrich Böll	Бёлль, Генрих
Palikir	Паликир
Lêng-pho-chhī	Нинбо
Audrey Hepburn	Хепбёрн, Одри
Hái-gû	Ламантины
Belo Horizonte	Белу-Оризонти
30	30 (число)
Mato Grosso	Мату-Гросу
Ivan Sergeyevich Turgenev	Тургенев, Иван Сергеевич
Iu-ut-chèng	Большое депрессивное расстройство
Nicolas Cage	Кейдж, Николас
Hansa Liân-bêng	Ганза
Kì-chiá	Репортёр
Li̍p-thé-chú-gī	Кубизм
CERN	ЦЕРН
Harbin-chhī	Харбин
Cha̍p-goe̍h Kek-bēng	Октябрьская революция
BASIC	Бейсик
